#separator:tab
#html:true
Front	Back	Tags
How many round trips before the first request byte on a cold TLS 1.3 connection?	Two -- one for the TCP handshake, one for TLS 1.3. TLS 1.2 needs three total. QUIC merges transport and crypto into one, and resumption with 0-RTT can reach zero for safe methods.	frontend web-foundations DNS TLS HTTP latency
Why does the initial TCP congestion window matter to first paint?	A fresh connection may only send about 10 segments (~14 KB) before waiting for acknowledgements, doubling each RTT. Anything critical above ~14 KB costs additional round trips of pure transfer.	frontend web-foundations DNS TLS HTTP latency
Difference between `dns-prefetch`, `preconnect` and `preload`?	`dns-prefetch` resolves the name only. `preconnect` does DNS + TCP + TLS and holds a socket. `preload` actually fetches a specific resource and requires an `as` attribute to set priority and the `Accept` header.	frontend web-foundations DNS TLS HTTP latency
Why is 0-RTT early data unsafe for `POST`?	The early-data flight is replayable -- an on-path attacker can resend it and the server has no handshake freshness context to reject it. Safe for idempotent `GET`; mutations need either 1-RTT or server-side idempotency keys.	frontend web-foundations DNS TLS HTTP latency
What is Anycast and what does it break?	One IP address advertised from many physical sites, with BGP routing each client to the nearest. It gives global low-latency from a single address, but it also means "the IP is up" says nothing about whether a specific site is healthy.	frontend web-foundations DNS TLS HTTP latency
Which DNS cache ignores your record TTL?	The browser's. Chrome pins entries to roughly 60 seconds regardless of TTL, so DNS changes alone cannot be relied on for fast failover -- you need health-checked Anycast or a load balancer behind a stable address.	frontend web-foundations DNS TLS HTTP latency
What is the mobile radio promotion tax?	On cellular an idle radio must be promoted to connected before any packet is sent -- typically 100-500 ms on LTE. It precedes your first RTT, never appears in server metrics, and is the main reason lab TTFB understates real mobile TTFB.	frontend web-foundations DNS TLS HTTP latency
Where is the HTTP protocol version actually chosen?	In ALPN, carried inside the TLS ClientHello. The client offers `h2`, `http/1.1` (and advertises `h3` via `Alt-Svc` or DNS HTTPS records) and the server picks, so negotiation costs no extra round trip.	frontend web-foundations DNS TLS HTTP latency
Which two CSS properties can be animated without main-thread work?	`transform` and `opacity`, on an element that has its own compositor layer. The compositor thread applies them while assembling the frame, so they stay smooth even when JavaScript is blocking. `filter` is also GPU-accelerated but is fill-rate heavy.	frontend browser-rendering rendering main-thread reflow compositing
What is a forced synchronous layout?	Reading a geometric property (`offsetWidth`, `getBoundingClientRect()`, `getComputedStyle()`, `scrollTop`) after a style write. The browser must flush pending changes and run layout immediately to give a correct answer. In a loop it becomes layout thrashing -- one layout per iteration.	frontend browser-rendering rendering main-thread reflow compositing
